customer_id,first_name,last_name,email,loyalty_status,signup_date
C1035,Michael,Walker,joelsnyder@spencer-wood.net,Gold,2023-11-02
C1036,Cheryl,Miller,ukey@yahoo.com,None,2024-09-05
C1037,Robert,Ortiz,teresaday@owens-holmes.com,Gold,2025-06-05
C1038,Maria,Arnold,ryanbartlett@guerra.com,Silver,2024-03-17
C1039,Fred,Morris,stacey84@king.net,Bronze,2024-02-23
C1040,David,Turner,brittanycarpenter@hopkins.org,None,2024-04-12
C1041,Megan,Elliott,williamsdarlene@baker.org,Gold,2024-12-02
C1042,Anthony,Small,timothy64@yahoo.com,Gold,2023-09-19
C1043,Haley,Moore,vmarshall@hotmail.com,Silver,2023-11-13
C1044,Larry,Higgins,xanderson@hotmail.com,None,2024-10-03
C1045,Daniel,Allen,shannon21@roberts.org,Gold,2024-06-13
C1046,John,Grimes,sarah53@jimenez.info,Bronze,2024-08-15
C1047,Natasha,Jimenez,pwagner@aguilar.com,Gold,2024-02-28
C1048,Troy,Khan,amanda16@gmail.com,Bronze,2025-06-09
C1049,Joseph,Diaz,brandon09@hotmail.com,Gold,2023-12-23
C1050,Michael,Roberts,rduran@hotmail.com,None,2025-01-03
C1051,Cheryl,Anderson,vbrooks@mcmillan.net,None,2024-05-31
C1052,Vincent,Williams,linda87@obrien.com,None,2024-04-04
C1053,Sarah,Flores,brittney88@hotmail.com,Bronze,2024-08-08
C1054,Jeanne,Evans,mark16@parker.com,None,2024-10-30
C1055,Thomas,Coffey,silvageorge@griffith.com,Bronze,2023-08-18
C1056,Ashley,Graves,alexanderrobert@vaughn-jenkins.org,Bronze,2024-07-25
C1057,Monique,Fitzgerald,aprilhoffman@mendoza.info,Bronze,2024-09-11
C1058,Matthew,Gomez,plee@yahoo.com,Silver,2024-09-30
C1059,Kenneth,David,janet75@yahoo.com,Gold,2024-04-20
C1060,Ann,Michael,david86@yahoo.com,Bronze,2025-04-20
C1061,Michael,Mejia,bobby15@douglas-burgess.com,Bronze,2023-12-28
C1062,Maria,Nelson,danielyang@gmail.com,Gold,2024-01-29
C1063,Brent,Stein,briangutierrez@kennedy.net,None,2023-11-24
C1064,Richard,Donovan,wsantos@yahoo.com,Silver,2024-03-30
C1065,Justin,Brown,amandasharp@gentry.biz,Gold,2025-06-09
C1066,Mary,Peck,lfrench@hayden.com,Bronze,2024-03-12
C1067,Ashley,Rodriguez,shawn88@yahoo.com,Gold,2025-06-14
C1068,Sheena,Rosales,james15@gmail.com,Bronze,2025-02-11
C1069,Stephen,Scott,doylekrystal@craig.biz,None,2025-04-27
C1070,Ronald,Murphy,lopezdonald@yahoo.com,Gold,2024-02-02
C1071,Adam,Reyes,stephanie49@hotmail.com,Silver,2024-10-11
C1072,Alexander,Valdez,contrerassteven@sullivan.com,Gold,2025-01-11
C1073,David,Hendricks,christina32@yahoo.com,Bronze,2023-11-20
C1074,Spencer,Zhang,emiles@hotmail.com,Bronze,2025-04-07
C1075,Elizabeth,Robinson,foxallison@miller-elliott.com,Silver,2025-04-28
C1076,Amy,Wagner,markmeyer@frazier.org,Bronze,2024-08-07
C1077,Christopher,Dixon,aanderson@elliott-hansen.com,Bronze,2025-02-05
C1078,Andrew,Scott,bethwilliams@graves-weaver.com,Bronze,2025-06-18
C1079,Cesar,Peck,robert26@haney-reyes.biz,Gold,2024-05-11
C1080,Christopher,Brandt,david86@anderson.com,Gold,2024-03-12
C1081,Steven,Ball,pmorrow@yahoo.com,Silver,2024-04-18
C1082,Eric,Lopez,pachecorobert@allen.com,Silver,2024-10-28
C1083,Arthur,Harper,joymorales@fernandez.com,None,2024-08-19
C1084,Victoria,Young,joel28@gmail.com,Bronze,2024-06-10
C1085,Kevin,Brown,dpeters@david-powers.net,Silver,2024-03-28
C1086,Heather,Russell,iwhite@yahoo.com,Bronze,2024-01-28
C1087,Melissa,Turner,jmelendez@faulkner-grant.com,Silver,2024-05-21
C1088,John,Harris,fboone@hardy.org,None,2024-11-04
C1089,Benjamin,Jones,vclark@krueger-smith.com,Silver,2025-02-19
C1090,David,Key,heatherpadilla@yahoo.com,Gold,2024-01-26
C1091,Andrea,Rowe,wferguson@yahoo.com,Bronze,2024-02-13
C1092,Michael,Andrade,langjennifer@yahoo.com,Gold,2023-12-29
C1093,Nathan,Gutierrez,allentran@riley.com,Silver,2024-01-19
C1094,Noah,Whitaker,jonathan77@yahoo.com,Silver,2023-12-02
C1095,Jessica,Bell,iwhite@bernard.com,None,2025-04-20
C1096,Elizabeth,Duran,meganhall@hotmail.com,None,2023-11-19
C1097,Albert,Wagner,williamsonelizabeth@hotmail.com,None,2024-08-03
C1098,Donna,Smith,smithjennifer@hotmail.com,Silver,2024-03-03
C1099,Andre,Li,danieldavis@gmail.com,None,2024-01-28
